,tste_2_0,tste_2_1,tste_3_0,tste_3_1,tste_3_2,tste_4_0,tste_4_1,tste_4_2,tste_4_3,tste_5_0,tste_5_1,tste_5_2,tste_5_3,tste_5_4,tste_6_0,tste_6_1,tste_6_2,tste_6_3,tste_6_4,tste_6_5,tste_7_0,tste_7_1,tste_7_2,tste_7_3,tste_7_4,tste_7_5,tste_7_6,tste_8_0,tste_8_1,tste_8_2,tste_8_3,tste_8_4,tste_8_5,tste_8_6,tste_8_7,tste_9_0,tste_9_1,tste_9_2,tste_9_3,tste_9_4,tste_9_5,tste_9_6,tste_9_7,tste_9_8,tste_10_0,tste_10_1,tste_10_2,tste_10_3,tste_10_4,tste_10_5,tste_10_6,tste_10_7,tste_10_8,tste_10_9
19,-0.28097,0.12872999999999998,0.071376,-0.38939,-0.32424000000000003,0.1511,-0.8938299999999999,-0.08634800000000001,0.051088,-0.012375,0.32911,-0.11294000000000001,0.6626,0.80053,0.31622,0.9047700000000001,-0.044864,-0.595,0.24284,0.22166,-0.42632,0.71502,-0.052639,0.50272,-0.7924100000000001,-0.49188999999999994,-0.35836,-0.15236,-0.12095,0.51084,-0.14577,0.36673,-1.2243,-0.14655,-0.48535,0.65203,-0.071924,-0.24463000000000001,0.12921,0.12888,1.0344,-0.33266,0.78968,0.20353,-0.39852,0.013569999999999999,-0.85355,0.41208999999999996,0.18771,-0.40131,1.2558,0.039738,-0.075724,-0.039447
20,0.32791,-1.0082,0.33944,1.1759,0.47902,0.27036,0.5585899999999999,0.9650700000000001,-0.77187,1.1496,-0.43888999999999995,-0.40685,-0.17659,-0.6359100000000001,0.21466,-0.19883,1.3637,0.49888000000000005,-0.6157199999999999,-0.40715,0.17451,0.20171,-0.21586999999999998,-1.4395,0.079544,-0.25733,0.62457,-0.69083,-0.67915,0.8479200000000001,0.5265,0.38991,1.1649,-0.010573,-0.017585,0.34079,0.27234,-1.099,-0.53372,-0.55077,-0.80155,-0.36789,-0.15491,-0.93827,0.75349,0.36699,0.065841,0.34598,0.14862,0.23595,-0.51464,0.8113100000000001,0.26632,1.4602
21,0.28235,-1.4874,0.7468100000000001,1.3916,-0.5514,-0.88844,0.32497,1.3161,-0.7429899999999999,0.60115,-0.041802,-0.662,0.7339899999999999,-1.4454,-1.0901,0.49715,0.88645,0.63893,-1.0429,-0.24595999999999998,0.8448,0.22721,0.88484,-1.4888,-0.5293399999999999,-0.0024157,-0.15555,-0.36801999999999996,-0.92327,0.81155,-0.53786,-0.73035,1.0717,-0.6664800000000001,-0.69445,0.23776999999999998,-0.74257,-0.3465,-0.52327,-1.4376,-0.0099742,0.64458,-0.18445999999999999,-1.1649,1.3746,0.8695700000000001,-0.19174000000000002,0.70098,0.50567,0.81606,-0.20705,0.5516,0.84762,-0.32984
22,-1.2545,0.47323000000000004,0.63359,-1.3611,-0.0040601,0.27739,-0.6334,-0.10972,1.4394,-0.23594,0.8409200000000001,1.3184,0.5362,0.68395,-0.07044,0.85298,-0.93829,-0.068899,1.2502,-0.58116,0.23016999999999999,0.70036,-0.44451,0.95501,-0.10195,0.64898,-1.2633,-0.18950999999999998,-0.34287,-1.0932,-0.8314,0.4615,-0.81577,0.5959,-1.0042,0.40684000000000003,1.1211,0.037677999999999996,0.082858,-0.28947,0.43575,0.9528700000000001,0.79669,1.1924,-1.7083,-0.23863,-0.087013,0.34106,1.2778,-0.12451,0.044493,0.08540700000000001,0.49427,-0.33379000000000003
23,0.39496,-1.1937,0.44691000000000003,1.2144,-0.5513399999999999,-0.77573,-0.065751,0.99535,-0.8618399999999999,0.44198999999999994,-0.27294,-0.6644100000000001,0.9825299999999999,-1.0371,-0.52781,0.75095,0.75052,0.56926,-1.2467,0.043229000000000004,0.14843,0.45688999999999996,0.92295,-1.232,-0.9134,0.11137000000000001,-0.029981,-0.59333,-0.8877700000000001,0.9061799999999999,-0.63365,-0.25894,0.6128899999999999,-0.99835,-0.3078,0.1719,-0.7217899999999999,-0.8582299999999999,-0.7541800000000001,-0.8488600000000001,0.12805999999999998,0.9749,0.24616,-0.6923199999999999,1.1769,0.9024399999999999,-1.064,0.63878,0.5857,0.41688000000000003,-0.14976,0.2047,0.44547,-0.22791
24,0.82285,-1.2965,0.090113,1.5077,-0.7966,-1.1077,0.67248,0.5376,-1.0275,-0.088509,-0.47735,-1.0279,0.24896,-1.3685,-0.69952,-0.25383,0.37485,0.52869,-1.5829,0.20075,0.59906,-0.56388,1.2596,-1.0071,-0.19915,-0.036237,0.69785,0.184,-0.8643799999999999,0.65796,0.11996,-1.0487,1.0014,-0.8729600000000001,0.5334800000000001,-0.44578,-0.60845,-0.54523,-0.33405,-0.18324000000000001,-0.7892899999999999,1.091,0.1715,-1.4834,1.0125,1.0296,0.86866,0.54319,-0.029422000000000004,0.80401,-0.4272,-0.83131,0.47496000000000005,0.42181
25,0.84726,0.030032,-0.63881,0.40089,-0.8156899999999999,-0.87171,0.28843,-0.44983999999999996,-0.55924,-0.41962,0.47818999999999995,-1.0044,-0.40428000000000003,-0.056340999999999995,-0.6116699999999999,-0.71122,0.018989,-0.99269,-0.26755999999999996,0.15654,-0.097689,-0.013297,0.54271,-0.004294,0.7936,-1.1932,-0.0028413,0.15093,-0.02486,0.16292,1.2689,-0.87065,-0.32771,0.31667,0.21658000000000002,-0.60645,0.27239,0.33426999999999996,-0.4859,0.26596,0.87787,-0.55737,-0.73452,-0.70507,-0.21201,-0.45002,-0.22512,0.047625,-1.182,0.5817399999999999,0.4729,-0.66092,0.73226,0.11382
26,-1.0939,-1.097,1.0778,0.41631,1.3972,1.4692,0.18282,1.3432,0.029094,1.9282,0.48953,0.23934,-0.58404,0.19372,0.014369,-0.29602,1.6443,-0.17982,1.1027,-0.88549,0.31383,-0.62195,-1.4222,-1.0505,0.30165,-0.5837600000000001,-1.3223,0.51865,-0.062310000000000004,0.42246999999999996,0.9470299999999999,0.37813,0.9968799999999999,1.5627,-1.121,-0.26363000000000003,1.8442,0.019657,0.46673000000000003,-1.2978,-0.17201,-0.97815,-0.19780999999999999,-0.60644,-0.01651,-0.93473,0.46945,-0.61755,-0.37811999999999996,0.16401,0.32953000000000005,1.5485,1.6579,0.78454
27,-0.19029000000000001,-0.032415,0.10654000000000001,-0.17285999999999999,-0.13652999999999998,0.23820999999999998,-0.9954799999999999,0.20335,-0.13646,0.15812,0.56405,-0.35189000000000004,0.71022,0.82439,0.40576,1.0184,0.11142,-0.84915,-0.022236000000000002,-0.11904,-0.15904000000000001,0.25787,-0.14642,0.43072,-0.52005,-1.2062,-0.63371,0.15957000000000002,-0.42012,0.9286700000000001,0.13752,-0.0016511,-1.1871,0.53647,-0.24903000000000003,0.52577,0.45232,-0.1448,0.39604,0.079069,1.1342,-0.35825999999999997,0.97252,-0.53857,-0.26289,-0.15562,-0.49533,-0.016209,0.28745,-0.053207000000000004,1.6433,-0.20456,0.5939300000000001,0.45375
28,0.16221,-1.0346,0.67997,0.83493,-0.5121899999999999,-0.82555,0.3072,0.9881200000000001,-0.24795,0.28769,0.23918000000000003,-0.42458999999999997,0.65364,-1.2383,-1.1396,0.41747,0.47276,0.53552,-0.7522,-0.16158,0.98851,0.26337,0.69713,-0.9494600000000001,-0.47977,0.12697999999999998,0.059538,-0.32389,-0.40002,0.49128,-0.59339,-0.83646,0.7207,-0.71429,-0.70853,0.39779000000000003,-1.0604,-0.12251,-0.11735999999999999,-1.2264,-0.077524,0.2613,-0.42708,-0.59702,0.69091,1.0582,0.21416,0.9786600000000001,0.24528000000000003,0.75095,-0.20506999999999997,0.51513,0.35026,-0.2417
