humiliate
mortify
chagrin
humble
abase
hurt
wound
injure
bruise
offend
spite
crush
smash
demolish
take_down
degrade
disgrace
demean
put_down
abhor
loathe
abominate
execrate
hate
detest
love
abhorrence
abomination
detestation
execration
loathing
odium
disgust
hatred
person
individual
someone
somebody
mortal
soul
transgression
evildoing
absorb
assimilate
ingest
take_in
take_over
suck
imbibe
soak_up
sop_up
suck_up
draw
take_up
emit
steep
immerse
engulf
plunge
engross
engage
occupy
sorb
reabsorb
resorb
learn
larn
acquire
fund
blot
sponge_up
wipe_up
mop_up
mop
blend
flux
mix
conflate
commingle
immix
fuse
coalesce
meld
combine
merge
suck_in
concentrate
focus
center
centre
pore
rivet
drink_in
drink
receive
invite
interest
bore
consume
involve
admit
acknowledge
deny
receipt
notice
recognize
recognise
know
declare
adjudge
hold
attorn
avow
avouch
disavow
concede
profess
confess
squeal
fink
make_no_bones_about
sustain
write_off
communicate
pass_on
pass
pass_along
put_across
react
respond
mention
cite
thank
give_thanks
appreciate
accept
reject
bitterness
acrimony
acerbity
jaundice
tartness
thorniness
disagreeableness
agreeableness
action
activity
activeness
inaction
inactivity
inactiveness
military_action
natural_process
natural_action
action_mechanism
legal_action
action_at_law
sue
litigate
process
carry_through
accomplish
execute
carry_out
fulfill
fulfil
act
deed
human_action
human_activity
accomplishment
achievement
aggression
hostility
alienation
application
arrival
beatification
bruxism
change
choice
selection
option
pick
course
course_of_action
destabilization
destabilisation
stabilization
stabilisation
economy
saving
emphasizing
accenting
accentuation
employment
engagement
fetch
interaction
jumpstart
jump-start
kindness
benignity
performance
execution
carrying_out
carrying_into_action
pickings
taking
play
swordplay
playing
politeness
civility
prohibition
inhibition
forbiddance
reference
consultation
res_gestae
resistance
opposition
reverence
stupefaction
thing
transfusion
vampirism
state
agency
behavior
behaviour
busyness
hum
eruption
eructation
extravasation
operation
overdrive
swing
group_action
amphibious_landing
battle
conflict
fight
blockade
encirclement
defense
defence
defensive_measure
electronic_warfare
EW
police_action
saber_rattling
sabre_rattling
sortie
sally
war
warfare
physical_process
absorption
acidification
adiabatic_process
aeration
antiredeposition
capture
centrifugation
chemical_process
chemical_change
chemical_action
chromatography
concretion
condensation
convection
curdling
clotting
coagulation
decay
demagnetization
demagnetisation
desorption
diffusion
dissolution
disintegration
distillation
distillment
drift
effervescence
electrophoresis
cataphoresis
dielectrolysis
ionophoresis
establishment
ecesis
extinction
extraction
feedback
filtration
flocculation
flow
formation
fossilization
fossilisation
geological_process
geologic_process
hardening
solidifying
solidification
set
curing
inactivation
activation
ion_exchange
ionization
ionisation
leach
leaching
magnetization
magnetisation
magnetic_induction
materialization
materialisation
nuclear_reaction
opacification
oscillation
oxygenation
pair_production
pair_creation
pair_formation
phase_change
phase_transition
state_change
physical_change
precession_of_the_equinoxes
radiation
release
saltation
scattering
sericulture
sink
source
soak
soakage
soaking
softening
sorption
stiffening
rigidifying
rigidification
stimulation
succession
ecological_succession
survival
survival_of_the_fittest
natural_selection
synergy
synergism
temperature_change
transduction
transpiration
vitrification
plot
drive
mechanism
gunlock
firing_mechanism
movement
piano_action
pump_action
slide_action
proceeding
legal_proceeding
proceedings
antitrust_case
civil_action
counterclaim
custody_case
lis_pendens
prosecution
criminal_prosecution
test_case
test_suit
work
challenge
expedite
complete
finish
effect
effectuate
set_up
consummate
dispatch
discharge
do
perform
get_over
run
acute_accent
acute
ague
chronic
intense
discriminating
incisive
keen
knifelike
penetrating
penetrative
piercing
sharp
obtuse
acuate
needlelike
accent
accent_mark
acuteness
acuity
sharpness
keenness
obtuseness
sensitivity
sensitiveness
sensibility
intelligence
stupidity
steel_trap
dullness
admire
look_up_to
look_down_on
respect
esteem
value
prize
prise
disrespect
disesteem
envy
look
adversary
antagonist
opponent
opposer
resister
agonist
dueler
dueller
duelist
duellist
enemy
foe
foeman
Luddite
withstander
esthesia
aesthesia
insensibility
consciousness
unconsciousness
affect
impact
bear_upon
bear_on
touch_on
touch
regard
feign
sham
pretend
dissemble
impress
move
strike
feeling
alter
modify
hit
hydrolize
hydrolise
influence
act_upon
treat
queer
expose
scupper
endanger
peril
redound
repercuss
slam-dunk
stimulate
excite
stifle
strike_a_blow
subject
tell_on
tinge
color
colour
distort
trouble
put_out
inconvenience
disoblige
discommode
incommode
bother
attack
cramp
intoxicate
inebriate
register
relax
unstrain
unlax
loosen_up
unwind
make_relaxed
tense
strain
sedate
calm
tranquilize
tranquillize
tranquillise
arouse
brace
energize
energise
perk_up
de-energize
de-energise
tense_up
ulcerate
refer
pertain
relate
concern
come_to
have-to_doe_with
implicate
misrepresent
belie
mouth
play_possum
take_a_dive
talk_through_one's_hat
bullshit
bull
fake
alienate
awaken
cloud
disturb
upset
engrave
hit_home
strike_home
strike_a_chord
strike_a_note
ingrain
instill
infect
jar
pierce
sadden
gladden
smite
strike_dumb
surprise
sweep_away
sweep_off
stir
zap
affection
affectionateness
fondness
tenderness
heart
warmness
warmheartedness
philia
attachment
fond_regard
protectiveness
soft_spot
betroth
affiance
plight
vow
affluence
richness
wealth
wealthiness
poverty
ease
comfort
agitation
ferment
fermentation
tempestuousness
unrest
calmness
excitement
turmoil
upheaval
hullabaloo
psychological_state
psychological_condition
mental_state
mental_condition
disturbance
perturbation
dither
pother
fuss
tizzy
flap
fret
stew
sweat
lather
swither
tailspin
turbulence
Sturm_und_Drang
fidget
fidgetiness
restlessness
stewing
tumult
motion
motility
shaking
stirring
wag
waggle
shake
worrying
alarm
dismay
consternation
warning_device
alarm_system
alert
warning_signal
alarum
alarm_clock
appal
appall
horrify
fear
fearfulness
fright
fearlessness
device
automobile_horn
car_horn
motor_horn
horn
hooter
burglar_alarm
fire_alarm
smoke_alarm
siren
signal
signaling
sign
air_alert
foghorn
fogsignal
red_flag
tocsin
alarm_bell
torpedo
clock
frighten
scare
affright
shock
warn
wake
alive
live
dead
animated
unanimated
active
awake
commitment
allegiance
loyalty
dedication
fealty
cooperation
competition
communalism
consecration
devotion
enlistment
faith
trueness
disloyalty
relieve
alleviate
palliate
assuage
facilitate
better
improve
amend
ameliorate
meliorate
worsen
soothe
irritate
help
assist
aid
amicable
hostile
anesthesia
anaesthesia
physical_condition
physiological_state
physiological_condition
conduction_anesthesia
conduction_anaesthesia
nerve_block_anesthesia
nerve_block_anaesthesia
block_anesthesia
block_anaesthesia
cryoanesthesia
cryoanaesthesia
general_anesthesia
general_anaesthesia
local_anesthesia
local_anaesthesia
regional_anesthesia
regional_anaesthesia
topical_anesthesia
topical_anaesthesia
anger
choler
ire
angriness
wrath
ira
see_red
emotion
annoyance
chafe
vexation
bad_temper
ill_temper
dander
hackles
fury
rage
madness
huffiness
indignation
outrage
infuriation
enragement
umbrage
offense
offence
emotional_arousal
mortal_sin
deadly_sin
venial_sin
elicit
enkindle
kindle
evoke
fire
raise
provoke
combust
enrage
exacerbate
exasperate
aggravate
gall
irk
infuriate
incense
madden
miff
pique
feel
experience
bridle
raise_the_roof
steam
angry
unangry
furious
raging
tempestuous
wild
